start	end	action	reward
4.0	1.0	0.0	7027.0
1.0	6.0	1.0	-11635.0
6.0	9.0	1.0	7550.0
9.0	8.0	3.0	2611.0
8.0	5.0	3.0	-5687.0
5.0	3.0	0.0	9457.0
3.0	2.0	3.0	-1471.0
2.0	7.0	3.0	4876.0
7.0	8.0	2.0	-3971.0
8.0	4.0	3.0	3990.0
4.0	1.0	0.0	7805.0
1.0	2.0	0.0	-12297.0
2.0	3.0	3.0	11579.0
3.0	5.0	0.0	-3297.0
6.0	9.0	1.0	1881.0
9.0	5.0	0.0	-21096.0
5.0	8.0	0.0	13212.0
8.0	0.0	0.0	-19676.0
0.0	6.0	3.0	-89952.0
6.0	9.0	3.0	-1149.0
9.0	3.0	0.0	805.0
3.0	2.0	3.0	2868.0
2.0	7.0	3.0	8785.0
7.0	1.0	3.0	-111.0
1.0	4.0	3.0	-3804.0
4.0	1.0	1.0	4266.0
1.0	5.0	3.0	9738.0
5.0	7.0	2.0	-6645.0
0.0	3.0	3.0	6366.0
3.0	6.0	3.0	5637.0
6.0	9.0	1.0	-1814.0
9.0	2.0	3.0	-835.0
2.0	8.0	0.0	-3808.0
8.0	2.0	0.0	15412.0
2.0	9.0	3.0	2656.0
9.0	1.0	0.0	-13836.0
1.0	4.0	3.0	-6378.0
4.0	7.0	0.0	-2976.0
7.0	0.0	1.0	-18830.0
0.0	3.0	0.0	7159.0
3.0	5.0	3.0	17929.0
5.0	6.0	4.0	110731.0
2.0	7.0	3.0	3764.0
7.0	4.0	3.0	3262.0
4.0	5.0	3.0	8455.0
5.0	0.0	3.0	-1489.0
0.0	8.0	0.0	-10336.0
8.0	1.0	0.0	7565.0
1.0	3.0	0.0	11642.0
3.0	9.0	0.0	-1950.0
9.0	0.0	0.0	-8916.0
0.0	8.0	3.0	25681.0
8.0	3.0	0.0	-9940.0
3.0	6.0	0.0	7383.0
6.0	2.0	1.0	128.0
2.0	1.0	3.0	14231.0
5.0	4.0	3.0	2172.0
4.0	7.0	3.0	1345.0
7.0	0.0	0.0	13542.0
0.0	4.0	2.0	-8038.0
4.0	5.0	3.0	6880.0
5.0	9.0	0.0	-9144.0
9.0	3.0	3.0	3239.0
3.0	8.0	0.0	-5376.0
8.0	1.0	0.0	4880.0
1.0	6.0	1.0	16854.0
6.0	2.0	0.0	477.0
2.0	3.0	2.0	-18798.0
3.0	0.0	3.0	5299.0
0.0	5.0	0.0	19212.0
5.0	1.0	3.0	14208.0
1.0	8.0	3.0	-2757.0
8.0	7.0	0.0	2234.0
7.0	6.0	0.0	228.0
6.0	4.0	0.0	-10208.0
4.0	0.0	0.0	8468.0
0.0	8.0	2.0	-5518.0
8.0	7.0	0.0	10711.0
7.0	1.0	0.0	3036.0
1.0	9.0	0.0	-18563.0
9.0	2.0	3.0	15446.0
2.0	6.0	3.0	2513.0
6.0	5.0	3.0	-139.0
5.0	3.0	3.0	3138.0
9.0	3.0	0.0	4189.0
3.0	8.0	0.0	16560.0
8.0	5.0	0.0	-1521.0
5.0	4.0	0.0	28410.0
4.0	0.0	3.0	-21536.0
0.0	7.0	3.0	7556.0
7.0	6.0	1.0	771.0
6.0	1.0	0.0	-692.0
1.0	3.0	1.0	2479.0
3.0	2.0	3.0	-3696.0
2.0	0.0	2.0	-1015.0
0.0	6.0	3.0	19246.0
6.0	5.0	3.0	-10854.0
5.0	4.0	3.0	-4525.0
4.0	8.0	3.0	10736.0
8.0	9.0	3.0	4332.0
9.0	7.0	0.0	-9902.0
7.0	5.0	0.0	9084.0
5.0	6.0	3.0	1854.0
6.0	2.0	0.0	690.0
2.0	1.0	1.0	-3843.0
1.0	0.0	3.0	10301.0
0.0	8.0	2.0	1034.0
8.0	4.0	3.0	2152.0
4.0	3.0	0.0	7865.0
3.0	5.0	0.0	-6157.0
5.0	0.0	2.0	-1917.0
0.0	9.0	0.0	-10062.0
1.0	4.0	1.0	-3212.0
4.0	6.0	4.0	103984.0
6.0	9.0	0.0	-7733.0
9.0	8.0	0.0	19838.0
8.0	7.0	0.0	611.0
7.0	6.0	0.0	3832.0
6.0	2.0	0.0	-7786.0
2.0	3.0	3.0	-521.0
3.0	4.0	3.0	6484.0
4.0	0.0	0.0	9028.0
0.0	5.0	0.0	-9213.0
5.0	1.0	4.0	109086.0
1.0	9.0	3.0	3115.0
9.0	8.0	0.0	10664.0
4.0	8.0	0.0	9561.0
8.0	3.0	3.0	3418.0
3.0	2.0	0.0	-3703.0
2.0	1.0	1.0	-2720.0
1.0	9.0	3.0	18646.0
9.0	0.0	0.0	-22127.0
0.0	7.0	3.0	11069.0
7.0	6.0	3.0	3790.0
6.0	4.0	2.0	8144.0
4.0	5.0	0.0	-2843.0
5.0	9.0	0.0	-13537.0
9.0	0.0	3.0	5956.0
0.0	1.0	0.0	-1737.0
1.0	8.0	0.0	2395.0
7.0	3.0	0.0	4189.0
3.0	8.0	0.0	7195.0
8.0	4.0	0.0	13846.0
4.0	1.0	3.0	-2535.0
1.0	9.0	0.0	1224.0
9.0	2.0	0.0	23270.0
2.0	7.0	3.0	-4931.0
7.0	0.0	3.0	9344.0
0.0	3.0	0.0	1842.0
3.0	6.0	3.0	17061.0
6.0	5.0	0.0	-21115.0
5.0	4.0	3.0	1262.0
4.0	2.0	3.0	12034.0
2.0	3.0	3.0	-18800.0
3.0	7.0	0.0	3362.0
7.0	1.0	3.0	7722.0
1.0	8.0	0.0	2853.0
8.0	6.0	1.0	8249.0
6.0	9.0	3.0	-8880.0
9.0	1.0	0.0	-17530.0
1.0	3.0	3.0	21770.0
3.0	2.0	3.0	5806.0
2.0	8.0	3.0	-7098.0
8.0	0.0	3.0	11691.0
0.0	5.0	0.0	-916.0
5.0	7.0	0.0	-5869.0
7.0	6.0	3.0	963.0
6.0	4.0	0.0	-20313.0
5.0	4.0	3.0	-627.0
4.0	8.0	0.0	9280.0
8.0	2.0	3.0	2305.0
2.0	7.0	0.0	3725.0
7.0	3.0	3.0	9073.0
3.0	9.0	0.0	1126.0
9.0	0.0	0.0	-904.0
0.0	6.0	3.0	20865.0
6.0	1.0	0.0	-10345.0
1.0	7.0	0.0	-5818.0
7.0	3.0	0.0	18743.0
3.0	0.0	3.0	16423.0
0.0	9.0	3.0	2075.0
9.0	8.0	3.0	5447.0
2.0	8.0	0.0	12227.0
8.0	4.0	3.0	5140.0
4.0	9.0	0.0	-17607.0
9.0	8.0	3.0	8646.0
8.0	0.0	0.0	-9610.0
0.0	2.0	0.0	17614.0
2.0	5.0	0.0	748.0
5.0	6.0	0.0	-4883.0
6.0	7.0	0.0	-11580.0
7.0	3.0	0.0	10150.0
3.0	1.0	0.0	20673.0
1.0	7.0	3.0	-17981.0
7.0	9.0	3.0	6368.0
9.0	0.0	0.0	-2075.0
2.0	8.0	3.0	-1277.0
8.0	5.0	3.0	9681.0
5.0	4.0	3.0	-708.0
4.0	0.0	3.0	1971.0
0.0	3.0	0.0	1813.0
3.0	5.0	2.0	1090.0
5.0	4.0	2.0	-2447.0
4.0	2.0	2.0	-5377.0
2.0	9.0	0.0	19019.0
9.0	6.0	1.0	-14403.0
6.0	1.0	0.0	-3875.0
1.0	7.0	0.0	8022.0
7.0	8.0	0.0	11373.0
8.0	0.0	2.0	2782.0
5.0	0.0	0.0	18445.0
0.0	1.0	1.0	-19185.0
1.0	9.0	0.0	-3947.0
9.0	4.0	3.0	12590.0
4.0	2.0	0.0	-1881.0
2.0	3.0	0.0	16460.0
3.0	6.0	0.0	-4363.0
6.0	7.0	1.0	-734.0
7.0	0.0	3.0	17125.0
0.0	9.0	3.0	-23741.0
9.0	6.0	0.0	18648.0
6.0	2.0	3.0	3780.0
2.0	5.0	0.0	5974.0
5.0	1.0	3.0	22455.0
3.0	4.0	0.0	12770.0
4.0	1.0	3.0	11189.0
1.0	6.0	1.0	-10457.0
6.0	4.0	0.0	-16666.0
4.0	5.0	0.0	3853.0
5.0	3.0	0.0	8802.0
3.0	8.0	3.0	5191.0
8.0	0.0	3.0	-3928.0
0.0	7.0	0.0	14590.0
7.0	9.0	3.0	15201.0
9.0	2.0	0.0	252.0
2.0	0.0	2.0	1278.0
0.0	8.0	0.0	-17779.0
8.0	3.0	0.0	715.0
3.0	6.0	0.0	405.0
6.0	7.0	1.0	-5129.0
7.0	9.0	0.0	1299.0
9.0	4.0	0.0	7175.0
4.0	1.0	1.0	-10830.0
1.0	4.0	0.0	-495.0
4.0	6.0	0.0	-15469.0
6.0	5.0	0.0	-1188.0
5.0	9.0	3.0	369.0
9.0	7.0	3.0	14077.0
7.0	0.0	0.0	-23691.0
0.0	2.0	0.0	21165.0
2.0	3.0	2.0	7796.0
3.0	8.0	0.0	3141.0
5.0	8.0	3.0	832.0
8.0	1.0	0.0	3552.0
1.0	2.0	1.0	2753.0
2.0	6.0	0.0	-160.0
6.0	9.0	1.0	-1820.0
9.0	3.0	3.0	8497.0
3.0	7.0	3.0	3557.0
7.0	4.0	3.0	-3915.0
4.0	9.0	3.0	9836.0
9.0	8.0	2.0	-6001.0
8.0	3.0	2.0	2608.0
3.0	0.0	0.0	9654.0
0.0	6.0	4.0	107724.0
6.0	7.0	0.0	-9358.0
2.0	1.0	0.0	1748.0
1.0	7.0	0.0	928.0
7.0	3.0	3.0	6711.0
3.0	1.0	3.0	1719.0
1.0	9.0	0.0	-11127.0
9.0	5.0	3.0	14181.0
5.0	6.0	4.0	94660.0
6.0	4.0	0.0	-14143.0
4.0	8.0	0.0	-4497.0
8.0	0.0	0.0	13877.0
0.0	2.0	2.0	2395.0
2.0	5.0	2.0	-8041.0
5.0	0.0	3.0	10795.0
0.0	4.0	0.0	4136.0
8.0	3.0	0.0	4487.0
3.0	9.0	0.0	1533.0
9.0	4.0	0.0	5572.0
4.0	1.0	3.0	10759.0
1.0	6.0	1.0	-9945.0
6.0	0.0	3.0	-2792.0
